Name;Place;Type;Price;Stars;Rating;City
3BE Backpackers Bed & Breakfast Eindhoven;Eindhoven City Centre, Eindhoven;Single Bed in 14-Bed Dormitory Room;6,035;5;8;Eindhoven City Centre
Bastion Hotel Eindhoven Waalre;Eindhoven;Deluxe King Room;6,205;5;8,1;Eindhoven
B&B Landgoed De Grote Beek;Woensel-Zuid, Eindhoven;Double Room;6,384;5;8,4;Woensel-Zuid
Crown Hotel Eindhoven Centre;Eindhoven City Centre, Eindhoven;Comfort Double Room;6,632;5;8;Eindhoven City Centre
Tulip Inn Eindhoven Airport;Strijp, Eindhoven;Standard Twin Room;6,692;5;8;Strijp
Boutiquehotel Sycamore - Protected City View - Free Parking;Tongelre, Eindhoven;Double Room with Private Bathroom;6,910;5;8,4;Tongelre
Boutique Hotel Lumiere;Eindhoven City Centre, Eindhoven;Comfort Room without Daylight;8,135;5;8,4;Eindhoven City Centre
Hotel Nassau;Eindhoven City Centre, Eindhoven;Double Room;8,262;5;8,1;Eindhoven City Centre
Holiday Inn Eindhoven Centre, an IHG Hotel;Eindhoven City Centre, Eindhoven;Standard Double or Twin Room;8,952;5;8,4;Eindhoven City Centre
Park Plaza Eindhoven;Eindhoven City Centre, Eindhoven;Superior Double Room;9,405;5;8;Eindhoven City Centre
B&B Molenstreek;Groningen;Deluxe King Room;8,083;5;9,5;Groningen
Byonz;Groningen;Two-Bedroom House;30,943;5;9,8;Groningen
The Hogg House - a city delight for two;Groningen;One-Bedroom Apartment;10,205;5;9;Groningen
Hakuna Matata - 4p apartment Groningen Center;Groningen;One-Bedroom Apartment;11,430;5;9,3;Groningen
The Market Hotel;Groningen;Double Room;12,736;5;9,1;Groningen
Prinsenhof;Groningen;Superior Double Room;14,451;5;9,2;Groningen
Pied à Terre Oostersingel UMCG;Groningen;One-Bedroom Apartment;7,552;5;8,7;Groningen
The Happy Traveler - Guesthouse Groningen;Groningen;Budget Double Room;7,838;4;8,5;Groningen
Hotel Miss Blanche;Groningen;Standard Double Room;9,716;5;8,8;Groningen
Cosy Aquarium for a couple or friends;Groningen;One-Bedroom Apartment;10,205;5;8,5;Groningen
Asgard Hotel;Groningen;Double Room;10,238;5;8,5;Groningen
Van der Valk Hotel Groningen-Hoogkerk;Groningen;Standard Room;10,695;5;8,7;Groningen
Monumentaal vintage appartement;Groningen;Three-Bedroom Apartment;11,267;5;8,5;Groningen
Hotel Corps de Garde;Groningen;Comfort Room;12,573;5;8,9;Groningen
Bed & Breakfast De Barrels;Groningen;Deluxe Apartment;15,614;5;8,7;Groningen
Best Western Apartments Groningen Centre;Groningen;Apartment (6 Adults);16,737;5;8,6;Groningen
Eco-Camping De Helleborus, Yurt, Bell & Safari tent, Pipo, Caravans, Dorms and Units;Groningen;Tent (2 Adults) Tiny T. ;4,389;4;8,2;Groningen
The Student Hotel Groningen;Groningen;Standard Queen Room;6,458;4;8,4;Groningen
Best Western Hotel Groningen Centre;Groningen;Standard Twin Room;7,564;4;8,2;Groningen
Best Western Plus Hotel Groningen Plaza;Groningen;Twin Room;7,715;4;8;Groningen
City Hotel Groningen;Groningen;City Double or Twin Room;8,156;4;8,2;Groningen
The Jungle - duo studio with kingsize terrace;Groningen;One-Bedroom Apartment;10,205;4;8;Groningen
Neon Nights Studio;Groningen;One-Bedroom Apartment;10,205;4;8,3;Groningen
Boutique Hotel De Doelen;Groningen;Standard Double or Twin Room;10,483;4;8,2;Groningen
Cessinas;Groningen;Double Room with Private Bathroom;5,364;4;8;Groningen
MAF Haarlem Boutique Hotel;Haarlem;Queen Room;11,678;5;9;Haarlem
B&B Het Hart van Haarlem;Haarlem;Deluxe Studio with Kitchen;13,471;5;9,2;Haarlem
Cavallaro Hotel;Haarlem;Deluxe Room;16,676;5;9,1;Haarlem
Haarlem zuid;Haarlem;One-Bedroom Apartment;17,451;5;9,2;Haarlem
Boutique Hotel 't Vosje;Haarlem;Superior Suite;18,860;5;9;Haarlem
the niu Dairy;Haarlem;Standard Double or Twin Room;8,454;5;8,5;Haarlem
Van der Valk Hotel Haarlem;Haarlem;Comfort Double Room;9,148;5;8,6;Haarlem
Hotel ML;Haarlem;Comfort Room;10,614;5;8,6;Haarlem
Haarlem 49;Haarlem;Twin Room with Private Bathroom;10,781;5;8,6;Haarlem
Hotel Lion D'Or;Haarlem;Classic Double or Twin Room;10,781;5;8,6;Haarlem
Hôtel Frenchie;Haarlem;Deluxe Room;13,185;5;8,9;Haarlem
Boutiquehotel Staats;Haarlem;Deluxe Room;13,798;5;8,9;Haarlem
Brasss Hotel Suites;Haarlem;Junior Suite Amazon;15,399;5;8,9;Haarlem
Haarlem Hotel Suites;Haarlem;Suite Kleine Hout 4;15,842;5;8,8;Haarlem
Hotel De Zoete Inval Haarlemmerliede;Haarlem;Comfort Twin Room;7,950;4;8,4;Haarlem
Anegang Boutique Hotel;Haarlem;Economy Twin Room;8,817;4;8,3;Haarlem
Carlton Square Hotel;Haarlem;Standard Double or Twin Room;10,287;4;8,3;Haarlem
The Guestroom - B&B;Haarlem;Queen Studio;10,859;4;8,4;Haarlem
Amrâth Grand Hotel Frans Hals;Haarlem;Deluxe Twin Room;11,882;4;8;Haarlem
Haarlem Apart Hotel;Haarlem;Quadruple Room with Private Bathroom;20,554;4;8,3;Haarlem
Stayokay Hostel Haarlem;Haarlem;Bed in 6-Bed Mixed Dorm with Shower;5,408;3;7,7;Haarlem
Amadeus Hotel;Haarlem;Budget Double Room;6,515;3;7,7;Haarlem
Ambassador City Centre Hotel;Haarlem;Comfort Room;9,005;3;7,7;Haarlem
Bed and Breakfast Haarlem 1001 Nacht;Haarlem;Luxury Quadruple Room;12,487;3;7,8;Haarlem
Hotel Carillon;Haarlem;Double Room with Shower;7,368;3;5,5;Haarlem
Hotel Bries Den Haag - Scheveningen;The Hague;Standard Suite;10,568;5;9;The Hague
COVE Centrum;The Hague City Centre, The Hague;Studio Apartments;10,454;5;9;The Hague City Centre
La Paulowna Boutique Hotel;The Hague City Centre, The Hague;Standard King Room;11,642;5;9,3;The Hague City Centre
Hotel Pistache Den Haag;The Hague City Centre, The Hague;Standard Suite;12,093;5;9,1;The Hague City Centre
Boutique Hotel Havenkantoor;Laak, The Hague;One-Bedroom Apartment;13,182;5;9,1;Laak
The Collector Hotel;The Hague City Centre, The Hague;The Cabinet <double standard>;13,745;5;9,2;The Hague City Centre
't Goude Hooft;The Hague City Centre, The Hague;Deluxe Suite;19,536;5;9;The Hague City Centre
Stadsvilla Hotel Mozaic Den Haag;The Hague City Centre, The Hague;Deluxe Double Room;10,989;5;8,9;The Hague City Centre
Boutique Hotel First City;The Hague City Centre, The Hague;Deluxe Double Room;11,348;5;8,8;The Hague City Centre
voco The Hague, an IHG Hotel;The Hague City Centre, The Hague;Queen Room with Atrium View;11,728;5;8,7;The Hague City Centre
Boutique Hotel De Salon;The Hague City Centre, The Hague;Superior King Room;11,943;5;8,8;The Hague City Centre
Carlton Ambassador;The Hague City Centre, The Hague;Standard Double Room;12,332;5;8,5;The Hague City Centre
Babylon Hotel Den Haag;Haagse Hout, The Hague;Standard Twin Room;12,462;5;8,5;Haagse Hout
The Sunny Suite - R.Q.C.;The Hague City Centre, The Hague;One-Bedroom Apartment;12,981;5;8,8;The Hague City Centre
Boutique Hotel Corona;The Hague City Centre, The Hague;Comfort Room City View;13,858;5;8,5;The Hague City Centre
Hotel Indigo The Hague - Palace Noordeinde, an IHG Hotel;The Hague City Centre, The Hague;Standard Room;13,961;5;8,8;The Hague City Centre
Hotel Excelsior;The Hague;Standard Triple Room;14,288;5;8,9;The Hague
Staybridge Suites The Hague - Parliament, an IHG Hotel;The Hague City Centre, The Hague;Studio Suite Queen Bed;15,839;5;8,7;The Hague City Centre
Mövenpick Hotel The Hague;The Hague City Centre, The Hague;Classic King Room;16,827;5;8,9;The Hague City Centre
Hotel Broer & Zus;The Hague City Centre, The Hague;Two-Bedroom Suite;18,811;5;8,5;The Hague City Centre
The Student Hotel The Hague;The Hague City Centre, The Hague;Executive Queen Room;5,704;4;8,3;The Hague City Centre
En Suite;Segbroek, The Hague;Double Room;6,422;4;8;Segbroek
Staten Hotel;The Hague;Double or Twin Room;7,756;4;8,2;The Hague
Riva hotel Den Haag - Delft;The Hague;Standard Double Room;8,112;4;8,4;The Hague
Park Centraal Den Haag;The Hague City Centre, The Hague;Comfort Double;8,838;4;8,3;The Hague City Centre
NinetyNine Amsterdam Airport;Hoofddorp;Double Room;8,377;4;8,5;Hoofddorp
Executive Residency by Best Western Amsterdam Airport;Hoofddorp;Comfort Double Room with Kitchenette;9,103;4;8,5;Hoofddorp
Novotel Amsterdam Schiphol Airport;Hoofddorp;Standard Room with Double Bed and One Sofa Bed;11,022;4;8,5;Hoofddorp
Hyatt Place Amsterdam Airport;Hoofddorp;King Room;11,173;4;8,5;Hoofddorp
Maxhotel Amsterdam Airport Schiphol;Hoofddorp;Small Double Room;6,776;4;8;Hoofddorp
IntercityHotel Amsterdam Airport;Hoofddorp;Double Room;8,243;4;8,4;Hoofddorp
Moxy Amsterdam Schiphol Airport;Hoofddorp;MOXY Sleeper Queen;8,736;4;8,3;Hoofddorp
The Florian Amsterdam Airport;Hoofddorp;Double Room;8,744;4;8,4;Hoofddorp
NH Amsterdam Schiphol Airport;Hoofddorp;Standard Double or Twin Room;9,062;4;8,4;Hoofddorp
Hampton by Hilton Amsterdam Airport Schiphol;Hoofddorp;Double Room;9,438;4;8;Hoofddorp
Courtyard by Marriott Amsterdam Airport;Hoofddorp;Standard Queen Room with Two Queen Beds;10,581;4;8,1;Hoofddorp
Van der Valk Hotel A4 Schiphol;Hoofddorp;Superior Twin Room;10,869;4;8,3;Hoofddorp
Wim's Place Amsterdam Airport / Hoofddorp;Hoofddorp;Deluxe Double Room (2 Adults + 1 Child);38,780;4;8,2;Hoofddorp
Floriande Bed & Breakfast;Hoofddorp;Deluxe Room;6,123;4;7,6;Hoofddorp
Bastion Hotel Amsterdam Airport;Hoofddorp;Deluxe Twin Room;8,083;4;7,6;Hoofddorp
Holiday Inn Express Amsterdam - Schiphol, an IHG Hotel;Hoofddorp;Standard Double or Twin;10,214;4;7,8;Hoofddorp
Hotel De Beurs;Hoofddorp;Business Double Room;11,430;4;7,7;Hoofddorp
Best Western Plus Amsterdam Airport Hotel;Hoofddorp;Deluxe Twin Room;7,674;4;7,1;Hoofddorp
Bastion Hotel Schiphol Hoofddorp;Hoofddorp;Comfort Twin Room;6,858;3;6,9;Hoofddorp
Cosy Cityhouse Leeuwarden;Leeuwarden;One-Bedroom House;10,189;5;9,1;Leeuwarden
B&B De Olde Signorie;Leeuwarden;Triple Room;13,498;5;9,4;Leeuwarden
Post-Plaza Hotel & Grand Café;Leeuwarden;Comfort Twin Room;8,465;5;8,8;Leeuwarden
Van der Valk Hotel Leeuwarden;Leeuwarden;Deluxe Twin Room;9,148;5;8,9;Leeuwarden
Stadslogies in Leeuwarden;Leeuwarden;Deluxe Double Studio;9,389;5;8,7;Leeuwarden
B&B De Dream;Leeuwarden;Deluxe Single Room;11,913;5;8,9;Leeuwarden
Guesthouse De Kleyne Sint Jacob;Leeuwarden;Double Room with Terrace;6,662;5;8,3;Leeuwarden
WestCord WTC Hotel Leeuwarden;Leeuwarden;Comfort Room;8,144;4;8,3;Leeuwarden
Oranje Hotel Leeuwarden;Leeuwarden;Standard Room;8,337;4;8,4;Leeuwarden
Hotel & Restaurant Weidumerhout;Leeuwarden;Superior Double Room with Shower / Bath;9,797;4;8,3;Leeuwarden
Boutique hotel WKNDS;Leeuwarden;Deluxe Twin Room;9,915;4;8,1;Leeuwarden
In de Brouwerij;Leeuwarden;Superior Double Room;10,610;4;8,4;Leeuwarden
City Penthouse Mademoiselle Anna Louise;Leeuwarden;Penthouse Apartment;11,639;4;8,4;Leeuwarden
City House Grande Madame Agaath;Leeuwarden;Deluxe Two-Bedroom Apartment;13,332;4;8;Leeuwarden
Bastion Hotel Leeuwarden;Leeuwarden;Comfort Twin Room;7,266;4;7,6;Leeuwarden
City Boutique Ster Logies Leeuwarden De Roos;Leeuwarden;Small Comfort Twin Room;7,759;4;7,6;Leeuwarden
Eurohotel;Leeuwarden;Standard Double Room;8,426;4;7,5;Leeuwarden
Fletcher Hotel Paleis Stadhouderlijk Hof;Leeuwarden;Comfort Double Room with Shower;10,532;4;7,4;Leeuwarden
Studio in the city center of Leeuwarden;Leeuwarden;One-Bedroom Apartment;4,303;3;6,7;Leeuwarden
Op de woonboot in Leeuwarden!;Leeuwarden;Two-Bedroom House;7,215;4;;Leeuwarden
Dormio Resort Maastricht Castellum Apartments;Maastricht;One-Bedroom Apartment;18,533;3;9,7;Maastricht
BEAUMONT Maastricht;Wijck, Maastricht;New Deluxe Room;31,677;4;8,5;Wijck
Bourgogne Suite Maastricht;Wijck, Maastricht;Deluxe Double Room superior;34,428;4;8,9;Wijck
The Green Elephant Hostel & Spa;Wijck, Maastricht;Private Pod in Mixed Dormitory Room;11,806;4;8,4;Wijck
